id,price,accommodates,bedrooms,bathrooms,beds,neighbourhood_cleansed,room_type,property_type,minimum_nights,latitude,longitude,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,host_is_superhost,host_response_rate,host_acceptance_rate,host_response_time,host_total_listings_count,instant_bookable,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,n_amenities,amen_wifi,amen_kitchen,amen_hot_water,amen_hair_dryer,amen_bed_linens,amen_hangers,amen_essentials,amen_cooking_basics,amen_refrigerator,amen_dishes_and_silverware,amen_iron,amen_heating,amen_dedicated_workspace,amen_self_check_in,amen_long_term_stays_allowed,amen_oven,amen_shampoo,amen_dishwasher,amen_hot_water_kettle,amen_room_darkening_shades,amen_tv,amen_dining_table,amen_wine_glasses,amen_washer,amen_elevator,amen_lockbox,amen_microwave,amen_freezer,amen_stove,amen_bathtub,text_name_len,text_desc_len,text_luxury,text_view,text_central,text_modern,text_terrace,text_renovated,text_lake,text_river,text_quiet,text_design,text_spacious,text_charming
29990656,171.0,2,1.0,1.0,1.0,Werd,Entire home/apt,Entire rental unit,2,47.37072,8.52686,7,24,39,109,17,6,1,0.23,0,100.0,100.0,1.0,9,1,4.94,5.0,4.94,4.94,4.88,4.71,4.71,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,34,297,0,0,0,0,0,0,0,0,0,0,0,1
29990728,286.0,4,1.0,1.0,1.0,Werd,Entire home/apt,Entire rental unit,2,47.37106,8.52595,24,50,72,162,90,16,0,1.12,0,100.0,100.0,1.0,9,1,4.61,4.79,4.68,4.88,4.89,4.78,4.51,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,44,297,0,0,0,0,0,0,0,0,0,0,0,1
30171704,102.0,3,0.0,1.0,2.0,Seefeld,Entire home/apt,Entire rental unit,3,47.35889,8.55289,11,28,51,315,118,28,1,1.41,1,100.0,94.0,1.0,52,1,4.86,4.92,4.81,4.92,4.81,4.97,4.79,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,49,365,0,0,1,0,0,0,1,0,0,0,0,0
30223460,38.0,2,1.0,1.0,1.0,Seebach,Private room,Private room in condo,1,47.41728210449219,8.54832935333252,0,4,5,5,18,12,2,0.48,1,100.0,98.0,1.0,8,1,4.83,5.0,5.0,5.0,4.83,4.78,4.94,55,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,39,263,0,0,0,0,0,0,0,0,1,0,0,1
30239388,100.0,3,1.0,1.0,2.0,Hard,Entire home/apt,Entire rental unit,1,47.3829,8.50767,0,0,0,3,138,2,0,1.66,0,95.0,80.0,1.0,460,1,4.59,4.71,4.5,4.83,4.5,4.44,4.35,37,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,41,267,0,0,1,0,0,0,0,0,0,0,0,0
30396907,100.0,2,0.0,1.0,1.0,Alt-Wiedikon,Entire home/apt,Entire rental unit,1,47.36095,8.51767,23,53,83,263,231,11,1,2.79,0,97.0,100.0,1.0,8,1,4.69,4.78,4.58,4.7,4.53,4.81,4.62,15,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,12,207,0,0,1,0,0,0,0,0,0,0,0,0
30397124,100.0,2,0.0,1.0,1.0,Alt-Wiedikon,Entire home/apt,Entire rental unit,1,47.36086,8.5176,23,49,77,167,66,7,1,0.8,0,97.0,100.0,1.0,8,1,4.55,4.73,4.76,4.62,4.56,4.67,4.52,17,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,207,0,0,1,0,0,0,0,0,0,0,0,0
30415457,47.0,1,1.0,1.0,1.0,Hottingen,Private room,Private room in townhouse,7,47.36642,8.56304,1,1,1,58,48,0,0,0.58,1,100.0,40.0,2.0,5,0,4.92,4.9,4.79,5.0,5.0,5.0,4.88,57,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,50,570,0,0,1,0,0,0,1,0,0,0,0,0
31327304,116.0,2,0.0,0.5,1.0,Oberstrass,Private room,Private room in rental unit,1,47.38156,8.54923,0,0,0,271,38,9,0,2.36,0,100.0,100.0,2.0,1,0,4.84,4.89,4.53,4.97,5.0,5.0,4.79,28,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,25,535,0,0,0,0,0,0,0,0,1,0,0,0
31606785,50.0,1,1.0,1.5,1.0,Wipkingen,Private room,Private room in rental unit,4,47.39531,8.52095,13,27,39,58,90,17,2,1.17,1,100.0,83.0,1.0,3,0,4.99,4.98,4.97,4.97,4.99,4.9,4.91,47,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,28,515,0,0,0,0,0,0,0,0,1,0,0,1
