accommodates,bedrooms,bathrooms,beds,neighbourhood_cleansed,room_type,property_type,minimum_nights,latitude,longitude,instant_bookable,n_amenities,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,amen_wifi,amen_kitchen,amen_hot_water,amen_hair_dryer,amen_bed_linens,amen_hangers,amen_essentials,amen_cooking_basics,amen_refrigerator,amen_dishes_and_silverware,amen_iron,amen_heating,amen_dedicated_workspace,amen_self_check_in,amen_long_term_stays_allowed,amen_oven,amen_shampoo,amen_dishwasher,amen_hot_water_kettle,amen_room_darkening_shades,amen_tv,amen_dining_table,amen_wine_glasses,amen_washer,amen_elevator,amen_lockbox,amen_microwave,amen_freezer,amen_stove,amen_bathtub,host_is_superhost,host_response_rate,host_acceptance_rate,host_response_time,host_total_listings_count,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,text_name_len,text_desc_len,text_luxury,text_view,text_central,text_modern,text_terrace,text_renovated,text_lake,text_river,text_quiet,text_design,text_spacious,text_charming,dist_hallenstadion_km,dist_letzigrund_km,dist_messe_km,dist_opernhaus_km,dist_hb_km,min_dist_venue_km
2,1.0,1.0,1.0,Rathaus,Entire home/apt,Entire rental unit,2,47.370161378641136,8.542598720237036,1,37,20,22,22,22,8,8,2,1.71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,100.0,92.0,1.0,95,4.63,4.38,4.88,4.88,4.88,4.88,4.5,41,336,0,0,1,1,0,0,0,0,0,0,0,1,6.8624679173262075,3.132478987507771,4.4528296777245915,0.6018833255395828,0.8777332172205081,0.6018833255395828
1,1.0,1.0,1.0,Altstetten,Entire home/apt,Entire rental unit,1,47.38055,8.48124,1,23,10,31,54,308,516,59,5,4.15,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,100.0,100.0,1.0,23,4.87,4.91,4.92,4.96,4.92,4.71,4.78,27,269,0,0,0,0,0,0,0,0,0,0,0,1,7.664060403229089,1.665895755313749,6.035868320088398,5.187919720992508,4.456665637714916,1.665895755313749
2,1.0,1.0,1.0,Wollishofen,Entire home/apt,Entire rental unit,30,47.34072339999999,8.5183228,1,28,0,0,0,213,1,0,0,0.04,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,100.0,99.0,3.0,214,5.0,5.0,5.0,5.0,5.0,4.0,5.0,49,268,0,0,0,0,0,0,0,1,0,0,0,0,10.38486510506829,4.447013078368233,8.03350848843064,3.464502555451856,4.452981203211938,3.464502555451856
2,1.0,2.0,1.0,Oberstrass,Private room,Private room in rental unit,1,47.3828971,8.5517604,0,5,30,60,90,364,1,0,0,0.07,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,100.0,43.0,1.0,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,28,91,0,0,0,0,0,0,0,0,0,0,1,0,5.4293003385609095,3.6693481439457085,3.0230789810210075,1.9870199762419094,1.0263178049806958,1.0263178049806958
2,1.0,1.0,1.0,Wipkingen,Entire home/apt,Entire rental unit,1,47.3909141,8.5280004,1,5,27,57,87,362,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,100.0,100.0,1.0,79,,,,,,,,41,478,1,0,0,0,0,0,0,0,0,0,0,0,4.815107249040625,2.2577240385906423,2.628262997378405,3.157243167992175,1.718019213246602,1.718019213246602
3,1.0,1.0,2.0,Langstrasse,Entire home/apt,Entire rental unit,2,47.3773108,8.5291036,1,23,11,33,43,260,102,28,2,3.31,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,99.0,1.0,5,4.83,4.9,4.94,4.92,4.94,4.56,4.77,44,418,0,0,1,0,0,0,0,0,0,0,0,0,6.239564809535861,1.9567491073945706,3.919959699975562,1.8575949271179444,0.8455989965528364,0.8455989965528364
2,1.0,1.0,1.0,Langstrasse,Entire home/apt,Entire rental unit,28,47.37429,8.52464,0,11,29,59,89,269,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,,,,1,,,,,,,,30,203,0,0,0,0,0,0,0,0,1,0,0,0,6.6522343482563935,1.7043684626829738,4.3612010136038775,1.9137761643191795,1.245638645119287,1.245638645119287
5,3.0,1.5,3.0,Enge,Entire home/apt,Entire rental unit,1,47.36712,8.53038,0,50,10,20,34,118,137,71,3,6.08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,100.0,77.0,2.0,11,4.92,4.91,4.95,4.88,4.94,4.91,4.83,23,357,0,0,0,0,1,0,1,0,0,0,0,0,7.323747320842205,2.4541631269972064,4.961406752782321,1.2215846919159756,1.4124007091324702,1.2215846919159756
4,2.0,1.5,3.0,Lindenhof,Entire home/apt,Entire rental unit,2,47.37032144536216,8.54109026491642,0,59,11,22,37,114,159,69,5,5.35,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,100.0,100.0,1.0,1,4.98,4.98,4.99,4.99,5.0,4.99,4.9,30,494,0,0,0,0,1,1,0,0,0,0,1,0,6.854270785656683,3.0194004875733467,4.448124873038226,0.6777734492904868,0.8447953724988331,0.6777734492904868
2,1.0,1.0,1.0,Mühlebach,Entire home/apt,Entire serviced apartment,3,47.35697,8.55664,0,37,27,57,61,61,4,0,0,0.03,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,92.0,51.0,2.0,43,4.5,5.0,5.0,5.0,5.0,5.0,4.67,39,387,0,0,0,1,1,0,0,0,0,0,1,0,8.326959446993778,4.7283591012561175,5.927655137209093,1.2138970480292584,2.6326279191503064,1.2138970480292584
2,1.0,1.0,1.0,Altstetten,Private room,Private room in rental unit,7,47.39829,8.49473,0,5,28,58,88,346,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,7.0,4.0,3,,,,,,,,29,487,0,0,0,0,0,0,0,0,0,0,0,0,5.548410226318588,2.197319629273331,4.258181643256397,5.3394274076639014,4.112124159832102,2.197319629273331
2,1.0,1.0,1.0,Seefeld,Entire home/apt,Entire rental unit,5,47.35815,8.55211,0,19,19,49,79,354,0,0,0,,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,,4.0,5,,,,,,,,40,43,0,0,0,0,0,0,1,0,0,0,0,0,8.180746204078591,4.369814348153683,5.77150997971997,0.9137091277330032,2.369372080314915,0.9137091277330032
2,1.0,1.0,2.0,Hard,Entire home/apt,Entire rental unit,3,47.38853,8.49829,0,30,0,10,19,61,70,22,2,1.5,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,100.0,78.0,1.0,1,4.97,4.96,4.9,4.99,4.99,4.87,4.94,34,534,0,0,0,0,0,0,0,0,1,0,0,1,6.155719643092537,1.083016830929112,4.476397395426685,4.442750067312202,3.376543627655832,1.083016830929112
2,1.0,1.0,1.0,Altstetten,Entire home/apt,Entire rental unit,4,47.39701,8.48455,0,26,0,0,0,84,2,0,0,0.15,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,,0.0,,1,5.0,5.0,5.0,5.0,5.0,4.5,5.0,26,353,0,1,1,0,0,0,0,0,0,0,0,1,6.226018514623172,2.4138686519335137,5.032170641561134,5.834398974818031,4.704298973490689,2.4138686519335137
4,2.0,1.0,3.0,Wollishofen,Entire home/apt,Entire rental unit,4,47.348,8.53345,1,39,14,15,15,15,17,12,1,1.08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,100.0,92.0,1.0,95,5.0,4.88,5.0,5.0,5.0,4.94,4.88,42,476,0,0,0,0,0,0,1,0,1,0,1,1,9.385114521893184,4.1650072206101365,6.987822254957798,2.1667924457662457,3.3645209027066136,2.1667924457662457
2,1.0,1.0,1.0,Seebach,Entire home/apt,Entire rental unit,1,47.4143322,8.5468833,1,47,9,30,55,306,26,14,0,1.67,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,100.0,100.0,1.0,38,4.85,4.88,4.88,4.96,5.0,4.62,4.88,50,535,0,0,1,1,0,0,0,0,0,0,1,1,1.9412189128905297,5.084224087177722,0.49873820229911403,5.441134028903599,4.081270008163699,0.49873820229911403
2,0.0,1.0,1.0,Unterstrass,Entire home/apt,Entire rental unit,2,47.38713,8.53744,1,35,0,0,0,65,13,6,0,0.91,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,100.0,92.0,1.0,95,4.62,4.62,4.46,4.85,4.62,4.46,4.38,43,370,0,0,1,1,0,0,0,0,0,0,0,1,5.038366750470398,2.7102768616111823,2.678163801821356,2.50869146797646,1.0486746417652075,1.0486746417652075
5,0.0,1.0,3.0,Langstrasse,Entire home/apt,Entire rental unit,2,47.37854015380823,8.527293183725865,0,10,28,58,88,88,1,1,0,0.35,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,100.0,86.0,2.0,2,4.0,5.0,5.0,5.0,5.0,3.0,4.0,49,536,0,0,0,0,0,0,1,0,1,0,0,0,6.1428168089946595,1.8091000921293552,3.8483137569779933,2.050642708934966,0.9819483076785441,0.9819483076785441
2,1.0,1.0,1.0,Wollishofen,Entire home/apt,Entire condo,5,47.34361,8.53452,0,35,27,57,87,362,0,0,0,,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0.0,0.0,4.0,1,,,,,,,,33,384,0,0,1,1,0,0,1,0,0,0,0,0,9.85986658720004,4.622474764973405,7.457972974263781,2.5829269048591366,3.8376482110221035,2.5829269048591366
2,1.0,1.0,1.0,Sihlfeld,Entire home/apt,Entire rental unit,2,47.37594,8.51348,0,31,0,11,41,41,0,0,0,,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,90.0,67.0,2.0,2,,,,,,,,27,493,0,0,0,0,0,0,0,0,0,1,0,1,6.7669470974292505,0.8576595271216588,4.618722974424829,2.7421798091652088,2.031222076156423,0.8576595271216588
6,2.0,1.0,3.0,Rathaus,Entire home/apt,Entire rental unit,2,47.375617994236485,8.544180249790006,1,68,13,40,57,57,9,9,4,4.15,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100.0,100.0,1.0,23,5.0,5.0,5.0,5.0,5.0,5.0,4.89,49,408,0,0,1,0,0,0,0,0,1,0,0,0,6.24887332758075,3.1067665622066016,3.8375535485754146,1.1484203545883391,0.3869817440234126,0.3869817440234126
4,1.0,1.0,1.0,Unterstrass,Entire home/apt,Entire rental unit,2,47.38255849999999,8.5442055,1,44,0,0,0,41,54,28,1,1.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,100.0,95.0,1.0,252,4.91,4.93,4.87,4.91,4.93,4.89,4.72,41,423,0,0,1,0,1,0,0,0,0,0,1,0,5.47879259674369,3.0998310206013007,3.069231782311263,1.9150811642252028,0.5956475289926603,0.5956475289926603
2,0.0,1.0,1.0,Unterstrass,Entire home/apt,Entire rental unit,2,47.38844,8.53907,1,39,0,0,0,0,1,1,1,1.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,100.0,92.0,1.0,95,5.0,5.0,5.0,5.0,5.0,5.0,5.0,22,360,0,0,0,1,0,0,0,0,0,0,0,1,4.873902772846829,2.8745410562503246,2.502368713220247,2.620710520355383,1.175647477968391,1.175647477968391
3,1.0,1.0,1.0,Sihlfeld,Entire home/apt,Entire rental unit,3,47.3707273,8.5234684,0,35,25,27,27,171,26,14,1,1.52,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,100.0,71.0,3.0,4,5.0,5.0,5.0,5.0,5.0,4.88,4.77,30,366,0,0,1,0,0,0,0,0,0,0,0,0,7.057266061915116,1.7990079308942977,4.759122173143558,1.8257652151481771,1.497513266761071,1.497513266761071
2,1.0,1.0,1.0,Friesenberg,Entire home/apt,Entire rental unit,30,47.3620715,8.504189100000001,1,29,0,1,1,242,0,0,0,,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,100.0,99.0,3.0,214,,,,,,,,47,270,0,0,0,0,0,0,0,0,0,0,1,0,8.460230706985003,1.9280042458018956,6.291376928497544,3.2006679695461275,3.2393103863678796,1.9280042458018956
4,2.0,1.0,2.0,Werd,Entire home/apt,Entire rental unit,30,47.3706886,8.5263855,1,26,0,0,0,266,1,0,0,0.04,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,100.0,99.0,3.0,214,5.0,5.0,5.0,5.0,4.0,5.0,5.0,48,280,0,0,0,1,0,0,0,0,0,0,1,0,7.003661755366404,1.990023622132588,4.6801892681566954,1.6179614294971076,1.319415474854993,1.319415474854993
2,1.0,1.0,1.0,Hard,Entire home/apt,Entire rental unit,7,47.37797036372023,8.511795137775033,0,25,0,0,0,271,0,0,0,,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,97.0,48.0,1.0,158,,,,,,,,30,245,0,0,0,1,0,0,0,0,0,0,0,0,6.6140905009154904,0.6591045104512309,4.512189898901881,2.9571371290810498,2.1463359962406696,0.6591045104512309
2,1.0,1.0,1.0,Seebach,Private room,Room in hotel,1,47.4147075,8.5595497,0,7,29,59,89,269,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,,19,53,0,0,0,0,0,0,0,0,0,0,0,1,2.035131302500983,5.7740220711219115,0.9761524180157989,5.571389803886684,4.3417139117894825,0.9761524180157989
2,1.0,1.0,1.0,Sihlfeld,Entire home/apt,Entire rental unit,2,47.37055,8.51495,1,22,22,52,82,108,42,6,0,1.27,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,97.0,100.0,1.0,109,4.21,4.31,4.43,4.79,4.71,4.62,3.86,50,474,0,1,0,0,0,0,0,0,0,0,0,1,7.279835057318352,1.3183251926701067,5.065511724297724,2.4367720552726455,2.07650444488411,1.3183251926701067
2,1.0,1.0,1.0,Seebach,Private room,Private room in home,1,47.4196641,8.555117,1,33,12,25,55,322,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,100.0,100.0,1.0,7,,,,,,,,38,523,1,0,0,0,1,0,0,0,0,0,0,1,1.4034548364225472,5.937624278661712,1.1811945824838261,6.0694671545684225,4.775988384608628,1.1811945824838261
2,1.0,1.0,1.0,Altstetten,Entire home/apt,Entire rental unit,1,47.38505,8.49212,1,37,26,56,86,361,12,0,0,0.15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,100.0,99.0,1.0,240,4.58,4.92,4.83,5.0,4.92,4.83,4.58,42,298,0,0,1,0,1,0,0,0,0,0,0,0,6.749286133887668,1.0503524456671383,5.076348712880566,4.634681884777811,3.7136531481647044,1.0503524456671383
1,1.0,1.0,1.0,Enge,Private room,Private room in rental unit,30,47.36681,8.53629,0,15,0,0,0,271,1,0,0,0.03,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,100.0,20.0,3.0,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,46,505,1,0,0,1,0,0,1,1,1,1,1,0,7.28362020740545,2.8515640498956194,4.891103960073494,0.7773946068818217,1.2695865851901094,0.7773946068818217
2,0.0,1.0,1.0,Sihlfeld,Entire home/apt,Entire rental unit,30,47.3755316,8.514229799999999,1,24,0,0,0,183,1,1,0,0.23,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,100.0,99.0,3.0,214,5.0,5.0,5.0,5.0,5.0,5.0,5.0,47,247,0,0,0,0,0,0,0,0,0,0,0,0,6.786314046674262,0.9286174717561301,4.624224829226068,2.67178479634406,1.980631602505199,0.9286174717561301
1,1.0,1.0,1.0,Unterstrass,Private room,Private room in rental unit,1,47.40272,8.53461,0,17,30,60,90,365,2,0,0,0.05,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.0,100.0,4.0,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,48,0,0,0,0,0,0,0,0,0,0,0,0,1,3.4116261301972286,3.5041709451996192,1.328060748972536,4.243666924789394,2.792899873349763,1.328060748972536
5,2.0,1.0,6.0,Sihlfeld,Entire home/apt,Entire loft,2,47.37967,8.50604,0,45,13,18,33,296,308,57,7,4.73,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,100.0,100.0,1.0,2,4.81,4.86,4.88,4.76,4.84,4.76,4.65,49,478,1,0,1,0,0,0,0,0,0,0,0,0,6.6459743438321786,0.20847973428745345,4.6515686385392705,3.428561972468755,2.5871201769041225,0.20847973428745345
3,1.0,1.0,2.0,Seebach,Entire home/apt,Entire rental unit,14,47.41504,8.5444,0,46,22,52,82,82,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,100.0,78.0,3.0,69,,,,,,,,48,397,0,0,0,1,1,0,0,0,0,0,1,0,1.8918234316029225,5.027463655812704,0.6433923365675911,5.521769124432233,4.141294260965052,0.6433923365675911
1,1.0,1.0,1.0,Seebach,Private room,Private room in rental unit,2,47.4149255529652,8.547836552149063,0,3,27,57,87,357,15,15,0,2.1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,62.0,2.0,3,4.33,4.27,4.33,4.13,4.73,4.87,4.2,26,63,0,0,0,0,0,0,0,0,1,0,0,0,1.8694268521396706,5.180928526644022,0.5507010671480047,5.508051941158928,4.155951828441809,0.5507010671480047
2,1.0,1.0,1.0,Weinegg,Entire home/apt,Entire rental unit,2,47.36124,8.56048,1,26,20,50,80,165,4,1,0,0.27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,97.0,100.0,1.0,109,4.0,3.75,4.75,4.5,4.5,5.0,3.75,29,310,0,0,0,0,0,0,0,0,0,0,0,1,7.878264569047493,4.756043637203114,5.4951393890363045,1.1569663018063456,2.3961130574256977,1.1569663018063456
4,2.0,1.0,2.0,Wollishofen,Entire home/apt,Entire rental unit,1,47.34701614334965,8.52616981163941,1,54,6,6,6,6,51,41,4,3.54,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,100.0,99.0,1.0,2,4.96,4.98,4.98,4.92,4.98,4.86,4.82,46,470,0,0,0,0,0,1,1,0,0,0,1,0,9.578803766116767,3.991696597423694,7.204248082308015,2.549700261410355,3.5952613241604636,2.549700261410355
3,2.0,1.5,1.0,Escher Wyss,Entire home/apt,Entire loft,4,47.38942,8.51881,0,87,0,0,7,280,31,0,0,0.18,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,,,,2,4.97,5.0,4.94,4.97,4.94,4.94,4.84,48,456,1,0,0,1,1,0,0,0,0,1,1,0,5.2379258559596735,1.6139777967665698,3.2037518021087403,3.3837172984531083,2.06364613978155,1.6139777967665698
3,0.0,1.0,2.0,Lindenhof,Entire home/apt,Entire rental unit,1,47.37113,8.53992,0,38,27,57,87,362,16,4,1,0.29,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,100.0,97.0,1.0,6,3.94,4.13,4.19,4.31,4.19,4.5,3.94,33,181,0,0,0,0,0,0,0,0,0,0,0,0,6.7735610507614545,2.9067957244719556,4.371259413725468,0.8025658504272646,0.7533332977126195,0.7533332977126195
2,1.0,1.0,1.0,Altstetten,Private room,Private room in bed and breakfast,2,47.38535071820924,8.477768900524909,1,30,14,27,35,172,43,43,4,4.87,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,100.0,98.0,1.0,1,4.93,4.93,4.98,4.95,5.0,4.77,4.81,28,129,0,0,0,0,0,0,0,0,0,0,0,1,7.463235534064307,2.032943782091196,5.994638231076923,5.623969983533873,4.780393828031709,2.032943782091196
2,0.0,1.0,1.0,Affoltern,Entire home/apt,Entire serviced apartment,7,47.42287,8.51473,0,46,27,57,87,87,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,100.0,78.0,3.0,69,,,,,,,,21,248,0,0,1,0,0,0,0,0,0,0,0,0,2.793827294823812,4.909598797317609,2.9227577212081575,6.82054987860596,5.357996014886382,2.793827294823812
2,1.0,1.0,1.0,Wipkingen,Private room,Private room in rental unit,3,47.39178041006153,8.52613233110323,0,30,27,57,87,362,16,16,6,3.58,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,90.0,63.0,2.0,2,5.0,4.94,5.0,4.94,4.94,5.0,4.94,31,477,0,0,0,0,0,0,0,1,1,0,1,0,4.774446574910786,2.202253630825714,2.6389149060635737,3.3065894894012526,1.876139175926933,1.876139175926933
3,1.0,1.0,1.0,Altstetten,Entire home/apt,Entire serviced apartment,2,47.391027575225706,8.478540144860744,1,42,9,27,45,294,93,16,3,2.78,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,100.0,99.0,1.0,5,4.91,4.91,4.91,4.94,4.98,4.74,4.86,49,397,0,0,0,0,0,0,0,0,0,0,0,1,6.997535988068574,2.268578173471227,5.679371616240414,5.850513050153506,4.87348256907917,2.268578173471227
7,4.0,2.0,4.0,Enge,Entire home/apt,Entire rental unit,4,47.36657,8.52646,0,62,14,14,14,61,31,9,0,0.39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,100.0,94.0,1.0,1,4.97,4.9,4.9,4.94,5.0,4.77,4.94,49,243,0,0,0,0,0,0,1,0,0,0,1,0,7.4468527696682925,2.253205242508553,5.108733420361923,1.5073809323909275,1.6350575422425966,1.5073809323909275
1,1.0,1.0,1.0,Hirslanden,Private room,Private room in rental unit,7,47.3642,8.55754,0,37,0,0,28,40,16,5,0,0.18,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,30.0,33.0,4.0,18,4.81,4.81,4.44,4.81,4.88,4.94,4.75,50,205,0,0,0,1,0,0,0,0,0,0,1,0,7.530013829538525,4.420445904152012,5.137008014370988,0.849558233311017,2.001549414274865,0.849558233311017
2,1.0,1.0,1.0,Enge,Entire home/apt,Entire rental unit,7,47.35684,8.52807,0,45,0,0,0,56,8,0,0,0.2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,,,,1,5.0,5.0,5.0,5.0,5.0,4.88,4.88,43,352,0,0,1,0,0,0,1,0,0,0,1,0,8.47891273479767,3.1261398027513967,6.109868524614601,1.6769354211051741,2.516390484528058,1.6769354211051741
1,1.0,1.0,1.0,Altstetten,Entire home/apt,Entire rental unit,2,47.38872,8.48518,0,21,27,57,87,177,0,0,0,,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,,0.0,,1,,,,,,,,50,491,0,0,0,1,1,0,0,0,0,1,0,1,6.801991198641104,1.7132084456464338,5.327677212986983,5.2890158269056835,4.320814863854554,1.7132084456464338
2,1.0,1.0,1.0,Unterstrass,Entire home/apt,Entire rental unit,61,47.39297,8.53918,0,4,30,60,90,365,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,33.0,,4.0,1,,,,,,,,26,539,0,1,1,0,1,0,0,0,0,0,0,0,4.376032929646399,3.094095583158126,2.0220184299926145,3.113471793242766,1.677827669006991,1.677827669006991
4,1.0,1.0,1.0,Altstetten,Entire home/apt,Entire rental unit,1,47.38645,8.50316,1,21,0,0,0,91,4,0,0,0.05,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,100.0,99.0,1.0,240,4.75,4.5,4.5,4.75,4.75,4.5,4.5,28,76,0,0,0,1,0,0,0,0,0,0,0,0,6.121860288020073,0.7839950929691858,4.3075287344942605,4.009973352669496,2.9534933340193565,0.7839950929691858
2,1.0,1.0,1.0,Höngg,Private room,Private room in rental unit,30,47.40967,8.48599,0,15,29,59,89,364,1,0,0,0.07,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,56.0,0.0,3.0,9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,30,500,0,0,0,0,0,0,0,0,1,0,0,0,5.369542535937419,3.609269756517079,4.711615564437729,6.701855796895409,5.403012268219327,3.609269756517079
2,0.0,1.0,1.0,Gewerbeschule,Entire home/apt,Entire rental unit,1,47.38186,8.53034,0,38,30,60,90,180,26,5,2,0.34,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,87.0,31.0,2.0,16,4.81,4.81,4.54,4.81,4.92,4.88,4.73,50,500,0,0,1,1,0,1,0,0,1,1,0,1,5.7264585753830675,2.05421216030494,3.4175878486457956,2.1937280880305803,0.8696454651303611,0.8696454651303611
1,1.0,0.5,1.0,Oerlikon,Private room,Private room in rental unit,24,47.40652887990973,8.554304013470642,0,9,5,30,30,30,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,100.0,0.0,3.0,1,,,,,,,,28,381,0,0,1,0,0,0,0,0,1,0,0,1,2.8221423644474903,4.882658787076652,0.5772572084525872,4.611872956070525,3.3533897059969338,0.5772572084525872
